dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,sgd,128,True,0.01,2.1,0.99999034,28.100653299989062
imdb,sgd,256,True,0.01,2.1,0.99999607,26.112055599995074
imdb,momentum,1,True,0.01,2.1,0.93128216,49.711408599992865
imdb,momentum,8,True,0.01,2.1,0.99417055,28.933621000003768
imdb,momentum,32,True,0.01,2.1,0.99920225,29.888794600003166
imdb,momentum,128,True,0.01,2.1,0.9998995,27.58608570000797
imdb,momentum,256,True,0.01,2.1,0.9999665,28.680417300012778
imdb,adagrad,1,True,0.01,2.1,0.99493283,58.26772259999416
imdb,adagrad,8,True,0.01,2.1,0.9986061,30.077462899993407
imdb,adagrad,32,True,0.01,2.1,0.999103,29.2031263000099
imdb,adagrad,128,True,0.01,2.1,0.99971676,32.97954230000323
imdb,adagrad,256,True,0.01,2.1,0.9997972,30.286197400011588
imdb,sgd,1,False,0.01,2.3,0.9776264133684593,144.84003930000472
imdb,sgd,8,False,0.01,2.3,0.9990046940546473,25.25130179998814
imdb,sgd,32,False,0.01,2.3,0.9998825099027839,10.066795899998397
imdb,sgd,128,False,0.01,2.3,0.9999830091296316,4.6592537999968044
imdb,sgd,256,False,0.01,2.3,0.9999939957707275,4.10126080000191
imdb,momentum,1,False,0.01,2.3,0.9030869388475038,142.1940825000056
imdb,momentum,8,False,0.01,2.3,0.9903936240131685,25.173102100001415
imdb,momentum,32,False,0.01,2.3,0.9987380571413039,9.742301999998745
imdb,momentum,128,False,0.01,2.3,0.9998222725202921,5.211760199992568
imdb,momentum,256,False,0.01,2.3,0.9999610321778645,4.669165500003146
imdb,adagrad,1,False,0.01,2.3,0.9951095919099175,164.23565009998856
imdb,adagrad,8,False,0.01,2.3,0.9985028607797599,28.534873600001447
imdb,adagrad,32,False,0.01,2.3,0.9992988572065016,9.73056360000919
imdb,adagrad,128,False,0.01,2.3,0.9997211120090249,5.967035200010287
imdb,adagrad,256,False,0.01,2.3,0.9998542005323356,4.454523399996106
imdb,sgd,1,True,0.01,2.3,0.9863153,49.45698229999107
imdb,sgd,8,True,0.01,2.3,0.99940264,36.55478809999477
imdb,sgd,32,True,0.01,2.3,0.9999274,26.64872280000418
imdb,sgd,128,True,0.01,2.3,0.9999899,27.189406699995743
imdb,sgd,256,True,0.01,2.3,0.9999968,27.94810559999314
imdb,momentum,1,True,0.01,2.3,0.92476124,48.808372499988764
imdb,momentum,8,True,0.01,2.3,0.9941064,29.483954300012556
imdb,momentum,32,True,0.01,2.3,0.99926823,27.066501299996162
imdb,momentum,128,True,0.01,2.3,0.9998997,30.1871656000003
imdb,momentum,256,True,0.01,2.3,0.9999677,27.83914869998989
imdb,adagrad,1,True,0.01,2.3,0.9948134,54.86301909999747
imdb,adagrad,8,True,0.01,2.3,0.9987867,34.75943039999402
imdb,adagrad,32,True,0.01,2.3,0.9996592,27.786911100003636
imdb,adagrad,128,True,0.01,2.3,0.999962,29.21056230000977
imdb,adagrad,256,True,0.01,2.3,1.0000403,33.19884909999382
imdb,sgd,1,False,0.01,2.5,0.9774096720747121,146.55527179999626
imdb,sgd,8,False,0.01,2.5,0.9990354813715501,23.97799369999848
imdb,sgd,32,False,0.01,2.5,0.9998759175787313,10.328558699999121
imdb,sgd,128,False,0.01,2.5,0.9999833517893788,5.684044499997981
imdb,sgd,256,False,0.01,2.5,0.9999941504411078,5.229052800001227
imdb,momentum,1,False,0.01,2.5,0.8947522091050364,142.00648889999138
imdb,momentum,8,False,0.01,2.5,0.989685761897319,25.90169510000851
imdb,momentum,32,False,0.01,2.5,0.9986827785840089,10.128221499995561
imdb,momentum,128,False,0.01,2.5,0.9998678483336272,6.529942599998321
imdb,momentum,256,False,0.01,2.5,0.9999503371335285,4.294714900010149
imdb,adagrad,1,False,0.01,2.5,0.9949860694313544,160.8359027999977
imdb,adagrad,8,False,0.01,2.5,0.9983115405942351,30.360032799988403
imdb,adagrad,32,False,0.01,2.5,0.9993067984679009,10.807307900002343
imdb,adagrad,128,False,0.01,2.5,0.9997205583016391,6.8000646000000415
imdb,adagrad,256,False,0.01,2.5,0.9999291561851015,4.583652500004973
imdb,sgd,1,True,0.01,2.5,0.98631895,47.0707728999987
imdb,sgd,8,True,0.01,2.5,0.99940264,35.38685139999143
imdb,sgd,32,True,0.01,2.5,0.99991965,33.64060139999492
imdb,sgd,128,True,0.01,2.5,0.9999907,26.5321527000051
imdb,sgd,256,True,0.01,2.5,0.9999958,28.02848369999265
imdb,momentum,1,True,0.01,2.5,0.9185573,48.29100690000632
imdb,momentum,8,True,0.01,2.5,0.9941101,32.46939169999678
imdb,momentum,32,True,0.01,2.5,0.99922895,27.172472900012508
