dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,adagrad,256,False,0.1,1.0,0.999933888500752,4.697333600008278
imdb,sgd,1,True,0.1,1.0,0.96715236,45.05168750000303
imdb,sgd,8,True,0.1,1.0,0.9958062,28.16232659999514
imdb,sgd,32,True,0.1,1.0,0.9992765,26.20098580000922
imdb,sgd,128,True,0.1,1.0,0.99989736,25.749349700010498
imdb,sgd,256,True,0.1,1.0,0.99996835,25.721187600007397
imdb,momentum,1,True,0.1,1.0,0.9677093,46.68641720000596
imdb,momentum,8,True,0.1,1.0,0.9961202,28.429871699991054
imdb,momentum,32,True,0.1,1.0,0.9990284,26.27800049999496
imdb,momentum,128,True,0.1,1.0,0.9997485,25.760498400006327
imdb,momentum,256,True,0.1,1.0,0.9999026,25.67147780000232
imdb,adagrad,1,True,0.1,1.0,0.97245616,48.26382959999319
imdb,adagrad,8,True,0.1,1.0,0.9961573,28.537965199997416
imdb,adagrad,32,True,0.1,1.0,0.99905217,26.33959540000069
imdb,adagrad,128,True,0.1,1.0,0.9997349,25.736515300013707
imdb,adagrad,256,True,0.1,1.0,0.9998609,25.76688439999998
imdb,sgd,1,False,0.1,2.5,0.8947255876250167,132.95549639999808
imdb,sgd,8,False,0.1,2.5,0.9899271279901269,23.81770279999182
imdb,sgd,32,False,0.1,2.5,0.998641758081203,10.226568099998985
imdb,sgd,128,False,0.1,2.5,0.9998448611460824,4.969235699987621
imdb,sgd,256,False,0.1,2.5,0.9999422987404961,4.320041700004367
imdb,momentum,1,False,0.1,2.5,0.8951106108891951,135.25230290000036
imdb,momentum,8,False,0.1,2.5,0.9870118456732182,24.0947831000085
imdb,momentum,32,False,0.1,2.5,0.9968291312845071,9.914256999996724
imdb,momentum,128,False,0.1,2.5,0.9990485131787954,5.00349859999551
imdb,momentum,256,False,0.1,2.5,0.9996723706531141,4.060692500002915
imdb,adagrad,1,False,0.1,2.5,0.9508288628548321,145.99237759999232
imdb,adagrad,8,False,0.1,2.5,0.9928141198597913,25.72889820000273
imdb,adagrad,32,False,0.1,2.5,0.9983277946967537,10.65176259999862
imdb,adagrad,128,False,0.1,2.5,0.999674441894894,6.400114300005953
imdb,adagrad,256,False,0.1,2.5,0.9998376463828316,4.293752799989306
imdb,sgd,1,True,0.1,2.5,0.91804266,45.01703399998951
imdb,sgd,8,True,0.1,2.5,0.9940857,28.077372200001264
imdb,sgd,32,True,0.1,2.5,0.9991885,26.32032509999408
imdb,sgd,128,True,0.1,2.5,0.9998971,25.843890600008308
imdb,sgd,256,True,0.1,2.5,0.9999684,25.771238500004984
imdb,momentum,1,True,0.1,2.5,0.9186648,47.01442409999436
imdb,momentum,8,True,0.1,2.5,0.98976314,28.533037500004866
imdb,momentum,32,True,0.1,2.5,0.99754083,26.41269949999696
imdb,momentum,128,True,0.1,2.5,0.9994211,25.929943899987848
imdb,momentum,256,True,0.1,2.5,0.9996033,25.780603299994254
imdb,adagrad,1,True,0.1,2.5,0.9414828,47.946856800001115
imdb,adagrad,8,True,0.1,2.5,0.9905111,28.676227700008894
imdb,adagrad,32,True,0.1,2.5,0.9972801,26.427144999994198
imdb,adagrad,128,True,0.1,2.5,0.9992995,25.889417099999264
imdb,adagrad,256,True,0.1,2.5,0.9996524,25.756217200003448
imdb,sgd,1,False,0.1,5.0,0.7975146884004665,131.42304660000082
imdb,sgd,8,False,0.1,5.0,0.9900667873103635,24.015374700000393
imdb,sgd,32,False,0.1,5.0,0.9987840479303169,9.718348199996399
imdb,sgd,128,False,0.1,5.0,0.9998190003797656,5.014899799993145
